property,correct_count,distractor_count,total,correct_rate
person in a plaid shirt and dark pants,1,9,10,10.0
person wearing dark top and light pants,1,9,10,10.0
person in dark uniform,1,9,10,10.0
person wearing a gray jacket and sweatpants,1,9,10,10.0
"person wearing ponytail, shorts, and a tank top",1,9,10,10.0
person in dark blue clothing,1,9,10,10.0
person wearing a light shirt,1,9,10,10.0
person shirtless wearing black shorts,1,9,10,10.0
person wearing a dark cap and light jacket,1,9,10,10.0
person wearing white long sleeved shirt and gray pants,1,9,10,10.0
person in light colored outfit,1,9,10,10.0
person wearing blue tank top and blue shorts,2,18,20,10.0
person in a red shirt and black adidas pants,1,9,10,10.0
person wearing a purple shirt,1,9,10,10.0
person in dark shirt and dark pants,2,18,20,10.0
person wearing blue and white jacket and dark blue jeans,1,9,10,10.0
person in gray shirt with a circle on it,1,9,10,10.0
person in a green and white jacket and white shirt with a wh,1,9,10,10.0
person in blue jeans trousers,1,9,10,10.0
person in all black with short hair,1,9,10,10.0
person wearing orange shirt and brown pants,1,9,10,10.0
"person wearing white hoodie, red baseball hat, and light col",2,18,20,10.0
person in black hooded sweatshirt,1,9,10,10.0
the action of hit with an object was carried out by person i,1,9,10,10.0
ginger person wearing a blue and white plaid jacket and red ,1,9,10,10.0
person wearing a brown jacket and tan pants,1,9,10,10.0
person wearing a green jacket and blue jeans,1,9,10,10.0
person in a blue and white striped shirt,1,9,10,10.0
person in blue jersey and jeans,1,9,10,10.0
person wearing a brown jacket,1,9,10,10.0
person with white blonde hair wearing a dark colored jacket and blue jeans,1,9,10,10.0
person with white t-shirt and black pants and white shoes,1,9,10,10.0
person wearing a burgundy colored shirt,1,9,10,10.0
men standing around the victim,1,9,10,10.0
person in dark jacket and white t-shirt with a black skull o,1,9,10,10.0
person wearing black and white printed jacket and black t-sh,1,9,10,10.0
person in a dark hoodie and a light shirt,1,9,10,10.0
person wearing a pink shirt and black pants,1,9,10,10.0
"person wearing a red sweatshirt, black tights, and sandals",1,9,10,10.0
person in a white top and dark pants,1,9,10,10.0
person in dark shirt/jacket,1,9,10,10.0
red-haired person wearing all black,1,9,10,10.0
"person wearing dark colored t-shirt, black pants, and black ",1,9,10,10.0
person in a white shirt with red boxing gloves,1,9,10,10.0
person wearing a jacket,1,9,10,10.0
person in blue shirt and white sleeves,1,9,10,10.0
"person in a blue shirt and dark pants, person in a red shirt",1,9,10,10.0
"person with no shirt, black shorts, and short hair",1,9,10,10.0
person wearing a white shirt and a white cap,1,9,10,10.0
person shirtless with light colored shorts,1,9,10,10.0
person with hair tied back wearing dress standing against wa,1,9,10,10.0
person in black and white dress,1,9,10,10.0
a person wearing a green jacket and brown beanie,1,9,10,10.0
person wearing a black jacket with white stripes,1,9,10,10.0
person wearing a black blazer,1,9,10,10.0
"person wearing blue shirt, brown vest, and a red tie",1,9,10,10.0
person wearing a blue jacket and a cap,1,9,10,10.0
person with long brown hair wearing a green top,1,9,10,10.0
person in a white t-shirt and dark pants,1,9,10,10.0
person wearing a pale colored shirt and blue shorts,1,9,10,10.0
a person wearing brown jacket and sweater with white collar,1,9,10,10.0
person in light t-shirt,1,9,10,10.0
person wearing white shirt and gray pants,1,9,10,10.0
person in dark blue colored jacket,1,9,10,10.0
person in the wheel chair,1,9,10,10.0
person in light-colored shirt,1,9,10,10.0
person wearing a red and black letterman jacket,2,18,20,10.0
person in striped shirt and baseball cap,1,9,10,10.0
person in yellow shirt and white shorts,1,9,10,10.0
"person wearing baseball cap, sweater, and tan pants",1,9,10,10.0
person with long straight hair wearing a pink dress,1,9,10,10.0
person with ponytail wearing gray shirt and gray pants,1,9,10,10.0
black cheerleader with dark hair in a ponytail,1,9,10,10.0
person on lower left of video wearing lighter colored t-shir,1,9,10,10.0
person wearing black below the aggressor,1,9,10,10.0
old person with white hair,1,9,10,10.0
person wearing a grey dress,1,9,10,10.0
person wearing a white shirt and black gloves,1,9,10,10.0
person with short blonde hair wearing a white t-shirt and wh,1,9,10,10.0
person wearing white shirt and black skirt,1,9,10,10.0
person in black shirt and blue jeans,3,27,30,10.0
person n camouflage jacket,1,9,10,10.0
person wearing a green shirt and an orange beanie,1,9,10,10.0
person wearing a red coat and pants,1,9,10,10.0
person in a blue sweater,1,9,10,10.0
person in dark jacket and dark pants with white line on them,1,9,10,10.0
person in white shirt and black trousers,1,9,10,10.0
person in gray hoodie,1,9,10,10.0
person in red shorts and black shirt,1,9,10,10.0
people in black,1,9,10,10.0
"person wearing white shirt, black cardigan, black skirt, and",1,9,10,10.0
person in a pink shirt,2,18,20,10.0
person in striped shirt and light blue shorts,1,9,10,10.0
"person wearing tan pants, a white shirt, and a black blazer",2,18,20,10.0
person wearing white hoodie and white sweatpants,1,9,10,10.0
person in white shirt with long black sleeves,1,9,10,10.0
person wearing a gray colored jacket and a dark tshirt,1,9,10,10.0
the action of choke,12,109,121,9.9
person wearing a gray shirt,5,46,51,9.8
no one in the video fits that description,215,2022,2237,9.6
person wearing gray shirt and blue jeans,2,19,21,9.5
person wearing white blouse and black skirt,2,19,21,9.5
person wearing a black tshirt,2,19,21,9.5
pinned down,43,419,462,9.3
person wearing a tan jacket and dark blue jeans,1,10,11,9.1
person with long dark hair with blue streaks in it wearing a,1,10,11,9.1
person in a purple shirt,2,20,22,9.1
person wearing a hooded jacket,1,10,11,9.1
"person with blue shirt, white sleeves, and black pants",1,10,11,9.1
person in a black t-shirt and blue jeans,1,10,11,9.1
"person in a red hooded jacket, brown jacket, and olive pants",1,10,11,9.1
person wearing a yellow shirt and black pants,1,10,11,9.1
brunette person wearing dark blue jacket,1,10,11,9.1
person wearing a maroon shirt and jeans,1,10,11,9.1
person in black t-shirt and black pants,1,10,11,9.1
brunette person wearing blue t-shirt and jacket,1,10,11,9.1
person in blue patterned shirt,1,10,11,9.1
person in light blue shirt and light pants,1,10,11,9.1
person wearing white shirt and black t-shirt,1,10,11,9.1
person in blue trousers,2,20,22,9.1
person wearing black jacket and blue jeans,1,10,11,9.1
people wearing checkered blue and white shirt and black t-sh,1,10,11,9.1
person wearing a blue and white plaid shirt,1,10,11,9.1
person in a black jacket with white shirt and tie,1,10,11,9.1
person in a red shirt and blue shorts,1,10,11,9.1
person in dark top and light pants,1,10,11,9.1
blonde person wearing dark colored tshirt,1,10,11,9.1
person wearing black adidas jacket,1,10,11,9.1
person in black and red jacket,1,10,11,9.1
"person wearing a white tshirt, black pants, and white shoes",1,10,11,9.1
person wearing a red tshirt and blue shorts,1,10,11,9.1
person in a gray shirt and dark pants,1,10,11,9.1
person in a black hoodie and red pants,1,10,11,9.1
person in a white shirt and black pants,1,10,11,9.1
slap was carried out by unknown person,1,10,11,9.1
person wearing a blue shirt,2,20,22,9.1
a person wearing a dark colored blazer and khaki pants,1,10,11,9.1
person in green shorts and a dark shirt,1,10,11,9.1
person wearing a dark shirt and glasses,1,10,11,9.1
person in black hoodie with red hair,1,10,11,9.1
person in a white shirt with dark hair,1,10,11,9.1
person in black skirt and black heels,1,10,11,9.1
person in a black shirt and light blue jeans,1,10,11,9.1
"person wearing black face mask, jacket, and holding a gun",1,10,11,9.1
person in black on bottom,1,10,11,9.1
person wearing a white shirt with black gloves and black sho,1,10,11,9.1
person wearing a camo patterned shirt and beige shorts,1,10,11,9.1
person wearing a brown cardigan and gray tank top,1,10,11,9.1
person in a dark top,2,20,22,9.1
person in blue top,1,10,11,9.1
person in grey dress,1,10,11,9.1
person in a black shirt and a white vest,1,10,11,9.1
person in a white tank top and black shorts,1,10,11,9.1
person with curly hair wearing grey and black sleeveless shi,1,10,11,9.1
person in white vest and black skirt,1,10,11,9.1
person in a blue jacket,2,20,22,9.1
person in a red santa costume,1,10,11,9.1
person in a dark jacket and pants,1,10,11,9.1
"person in dark shirt, light grey pants, and dark hat",1,10,11,9.1
person wearing a white shirt and black shorts,1,10,11,9.1
"person with brown hair wearing a black coat, white shirt, an",1,10,11,9.1
"a person wearing a gray jacket, white shirt, and yellow and ",1,10,11,9.1
person wearing black police uniform,1,10,11,9.1
blonde cheerleader with ponytail,1,10,11,9.1
person wearing a blue backpack,1,10,11,9.1
person with white sweater and gray shorts,1,10,11,9.1
person in black shirt and white trouser,1,10,11,9.1
person wearing blue and yellow hoodie,1,10,11,9.1
person wearing a black tracksuit with white stripes,1,10,11,9.1
person wearing a black shirt and jeans,2,20,22,9.1
person wearing a black t-shirt with a graphic on the back,1,10,11,9.1
"person in a red long-sleeved top, red pants, and white shoes",1,10,11,9.1
white cheerleader with hair in a ponytail,1,10,11,9.1
"person wearing a black beanie, gray jacket, and white tank t",1,10,11,9.1
person in black jacket and brown trousers,1,10,11,9.1
person in striped shirt,1,10,11,9.1
person wearing bus driver uniform,1,10,11,9.1
person in a green police uniform,1,10,11,9.1
person in a light blue shirt,1,10,11,9.1
person wearing a maroon sweater,1,10,11,9.1
person wearing a blue football uniform shirt and a yellow ve,1,10,11,9.1
person wearing a dark jacket and jeans,1,10,11,9.1
person in a white shirt and shorts,1,10,11,9.1
"person wearing a white tshirt, baseball cap, and black pants",1,10,11,9.1
"a person wearing a dark jacket, jeans, and a baseball cap",1,10,11,9.1
person wearing a white shirt and dark pants,1,10,11,9.1
person in blue sleeveless shirt,1,10,11,9.1
person wearing gray dress,2,20,22,9.1
person in black shirt and jeans,1,10,11,9.1
person in white and black striped sweater,1,10,11,9.1
person in white t-shirt and dark pants,1,10,11,9.1
person in white and grey shirt with white trousers,1,10,11,9.1
person with blue hoodie and dark backpack and person in red ,1,10,11,9.1
person in light colored top,5,51,56,8.9
restrain while on feet,61,634,695,8.8
person wearing blue and white football uniform,2,21,23,8.7
person in black and white shirt,2,21,23,8.7
person in white shirt and black pants,2,21,23,8.7
person in dark top and dark pants,2,21,23,8.7
"person in black jacket,",2,21,23,8.7
pinned down on the ground,60,640,700,8.6
bystander,187,2050,2237,8.4
person in grey shirt and black trousers,1,11,12,8.3
person in a jacket,1,11,12,8.3
person with short hair wearing a red shirt,1,11,12,8.3
person in a light-colored top and pants,1,11,12,8.3
police officer wearing uniform,1,11,12,8.3
person with white hair wearing dark brown jacket and pants,1,11,12,8.3
person in brown short sleeve shirt,1,11,12,8.3
person in white and blue hat and pink shirt,1,11,12,8.3
person wearing a green sweater and black pants,1,11,12,8.3
multiple people wearing orange prisoner uniforms,1,11,12,8.3
person in white shirt and light green shorts with dark hair,1,11,12,8.3
"person with white shirt, black vest, and black skirt",1,11,12,8.3
person wearing a blue shirt and blue shorts,1,11,12,8.3
"the aggressor, person in grey pullover and black trousers, c",1,11,12,8.3
"person wearing a white shirt,",1,11,12,8.3
person wearing checkered shirt and blue jeans,1,11,12,8.3
brunette person in maroon shirt and backpack and person with,1,11,12,8.3
person in black pullover and black trousers,1,11,12,8.3
"a person wearing a leather jacket, white shirt, red and yell",1,11,12,8.3
person wearing patterned shorts,1,11,12,8.3
person in red superhero costume,1,11,12,8.3
person in brown and white shirt,1,11,12,8.3
person wearing red dress and tights,1,11,12,8.3
person wearing black hoodie and shorts,1,11,12,8.3
two people wearing dark blue blazers and tan pants,1,11,12,8.3
person in gray with long hair,1,11,12,8.3
bald person wearing a grey shirt and black pants,1,11,12,8.3
person wearing white shirt and black shorts,1,11,12,8.3
person in a black shirt and dark pants,1,11,12,8.3
person in black shirt and head covering,1,11,12,8.3
person in black jacket and blue jeans,1,11,12,8.3
person wearing a t-shirt with dark hair in a ponytail,1,11,12,8.3
person wearing a maroon shirt and gray pants,1,11,12,8.3
"person wearing black facemask, black jacket, black backpack,",1,11,12,8.3
person wearing a dark jacket and a dark beanie,1,11,12,8.3
person in dark shirt and pants,1,11,12,8.3
"person in a dark top, dark pants, and a bag",1,11,12,8.3
"person shirtless, wearing dark shorts",1,11,12,8.3
person wearing gray jacket and holding gun in front of aggre,1,11,12,8.3
person in an orange shirt,1,11,12,8.3
"person in hat, blue and black striped shirt",1,11,12,8.3
person wearing red sweatshirt and black sweatpants,1,11,12,8.3
person in a green jacket and jeans,1,11,12,8.3
person wearing black tank top and black backwards baseball c,1,11,12,8.3
person wearing dark top and dark pants,1,11,12,8.3
person wearing black shirt and plaid hoodie rolled up at the,1,11,12,8.3
person wearing dark colored jacket,1,11,12,8.3
"person in black jacket,grey skirt",1,11,12,8.3
"person wearing glasses, blue jeans, and purple, green, and y",1,11,12,8.3
person in a jacket and gray pants,1,11,12,8.3
person wearing grey hoodie and black pants,1,11,12,8.3
person wearing blue shirt and blue tie and brunette person wearing gray cardigan,1,11,12,8.3
person in a light colored button up shirt and blue jeans,1,11,12,8.3
"person wearing a black tshirt, black shirt, and black pants",1,11,12,8.3
person in yellow head covering and mask wearing grey clothes,1,11,12,8.3
"person wearing orange and blue shirt, blue jeans, and black ",1,11,12,8.3
person wearing light colored hoodie,1,11,12,8.3
person wearing black tshirt and blue shorts,1,11,12,8.3
"person in a black hooded jacket, black pants, and yellow/gre",1,11,12,8.3
person with brown hair wearing blue and yellow football unif,1,11,12,8.3
"person wearing a purple jacket, skull t-shirt, and dark blue",1,11,12,8.3
person in a blue suit,2,23,25,8.0
a person wearing red sweater and dark colored jacket,2,23,25,8.0
person wearing light blue hoodie,2,23,25,8.0
slap,76,893,969,7.8
choke,77,918,995,7.7
person wearing gray tank top,1,12,13,7.7
"person wearing black t-shirt, multicolored shirt, and black ",1,12,13,7.7
person wearing a fuzzy white jacket,1,12,13,7.7
person wearing a hat and a western style shirt,1,12,13,7.7
person with facial hair and patterned shirt,1,12,13,7.7
person wearing a red and black shirt,1,12,13,7.7
person wearing dark colored jacket and black hat,1,12,13,7.7
person in black shorts,1,12,13,7.7
curly-haired person wearing red shirt and blue jeans and smo,1,12,13,7.7
person wearing a red shirt and jeans with boxing gloves,1,12,13,7.7
person with red hair and blue jeans,1,12,13,7.7
person in black and white top,1,12,13,7.7
person wearing a black shirt and black pants (aggressor) did,1,12,13,7.7
person in a black jacket and blue pants,1,12,13,7.7
person wearing black clothing with a green shirt on top,1,12,13,7.7
person in red outfit,1,12,13,7.7
person in black and white jacket,1,12,13,7.7
person in red long-sleeve shirt,1,12,13,7.7
person wearing gray sweatshirt with hair tied up,1,12,13,7.7
person wearing a tan plaid shirt and light blue jeans,1,12,13,7.7
person wearing a blue and yellow mascot costume,1,12,13,7.7
person in brown shirt,1,12,13,7.7
person in a striped shirt and black sleeves,1,12,13,7.7
person wearing gray shirt and dark blue jeans,1,12,13,7.7
person wearing a dark shirt and black pants,1,12,13,7.7
person wearing a dress,1,12,13,7.7
"person wearing white shirt, black blazer, gray backpack, and",1,12,13,7.7
person in jacket with white stripe logo patches,1,12,13,7.7
person wearing maroon sweater and blue jeans,1,12,13,7.7
person wearing a red and white jersey,1,12,13,7.7
person in a dark blue shirt and dark pants,1,12,13,7.7
person in an orange jumpsuit with a white undershirt,1,12,13,7.7
person in black shorts with a white stripe wearing gloves,1,12,13,7.7
person with curly hair wearing a blue football uniform shirt,1,12,13,7.7
"person wearing a black letterman jacket, black shirt, and bl",1,12,13,7.7
person wearing orange and blue jumpsuit with an orange cape,1,12,13,7.7
person in a black hooded jacket and gray pants,1,12,13,7.7
person on lower left of video wearing t-shirt and jeans,1,12,13,7.7
person in a dark jacket lying,1,12,13,7.7
person in brown shirt and pants,1,12,13,7.7
person in a cap,1,12,13,7.7
person wearing a blue shirt and light blue jeans lying under,1,13,14,7.1
person in a black shirt and pants,1,13,14,7.1
blonde person wearing a burgundy sweater and dark colored pa,1,13,14,7.1
person in grey top and dark pants,1,13,14,7.1
person wearing a white and blue striped polo and blue jeans,1,13,14,7.1
person wearing a white top and dark pants,1,13,14,7.1
person in blue shirt with white hair,1,13,14,7.1
person in a dark shirt and dark pants,1,13,14,7.1
person with blond hair,1,13,14,7.1
person wearing a blue jacket and green headband,1,13,14,7.1
person wearing a blue shirt and blue jeans,2,26,28,7.1
person wearing black tracksuit,1,13,14,7.1
person wearing a white jacket with black trim and a black sh,1,13,14,7.1
person wearing a navy jacket with a backpack,1,13,14,7.1
person wearing a black jacket and blue jeans with blue cap,1,13,14,7.1
person wearing a tan sleeveless hoodie,1,13,14,7.1
person wearing black tshirt and black pants,1,13,14,7.1
person wearing a khaki shorts and a white shirt carrying a b,1,13,14,7.1
person in white tank top and white pants,1,13,14,7.1
person in light long-sleeved shirt and dark pants,1,13,14,7.1
the action of aggressive talking,9,120,129,7.0
restrain while on feet; victim: person wearing a white shirt,1,14,15,6.7
person wearing a blue hoodie and a blue baseball cap,1,14,15,6.7
person in white jacket facing the agressors,1,14,15,6.7
person in black and white striped prison uniform lying down,1,14,15,6.7
person in a blue jacket and jeans,1,14,15,6.7
blonde person wearing blue and white football player uniform,1,14,15,6.7
person in a dark shirt and light shorts,1,14,15,6.7
person in a black jacket and pants,1,14,15,6.7
person in grey and blue shirt and white pants,1,14,15,6.7
person in black coat,1,14,15,6.7
shirtless brunette person wearing black shorts,1,14,15,6.7
person wearing a dark colored jacket and blue jeans,1,14,15,6.7
person with curly hair wearing a karate uniform and black belt,1,14,15,6.7
person with the black hoodie and blue jeans,1,14,15,6.7
person in a white jacket,2,29,31,6.5
aggressive talking,65,946,1011,6.4
person wearing a black shirt and black shorts,1,15,16,6.2
"person in a gray shirt,",1,15,16,6.2
person wearing a red sweater and black pants,1,15,16,6.2
person wearing black hoodie and black pants standing to the ,1,15,16,6.2
person wearing a brown and white striped shirt,1,15,16,6.2
person wearing dark sweater and gray pants,1,15,16,6.2
"person wearing a dark colored coat, shirt, and a red tie",1,15,16,6.2
"person in dark clothing,",1,15,16,6.2
person in blue patterned shorts,1,15,16,6.2
person in black coat and  black clothing,1,15,16,6.2
"a person with hair in a ponytail wearing a dark blue blazer,",1,15,16,6.2
person wearing white shirt and black sweatpants,1,15,16,6.2
person wearing a red shirt with boxing gloves,1,15,16,6.2
person wearing a black suit,1,15,16,6.2
person wearing a dark shirt and dark pants,1,16,17,5.9
person wearing light colored t-shirt standing to the left be,1,16,17,5.9
person wearing a blue hoodie and blue pants,1,16,17,5.9
person in blue shorts,1,16,17,5.9
person wearing pink shirt,1,16,17,5.9
person in a black jacket and black pants,1,17,18,5.6
person wearing a gray tank top,1,17,18,5.6
person wearing a black blazer and black pants,1,17,18,5.6
person in black pants,2,37,39,5.1
person in blue jeans and blue jacket,1,19,20,5.0
person wearing a light colored polo and white pants,1,19,20,5.0
the action of slap,6,119,125,4.8
person wearing a dark top,1,22,23,4.3
"person in the white shirt,",1,22,23,4.3
person with curly hair wearing a brugundy shirt and blue jea,1,23,24,4.2
person wearing a green jacket,1,23,24,4.2
slap; victim: person in yellow,1,24,25,4.0
"person wearing black suit, white shirt, and tie with darker ",1,26,27,3.7
person wearing a dark shirt,1,27,28,3.6
drag,29,959,988,2.9
the action of drag,3,123,126,2.4
the action of elbow,3,139,142,2.1
the action of headbutt,3,140,143,2.1
clothing grab,16,921,937,1.7
elbow,14,935,949,1.5
chase,12,934,946,1.3
snatch,9,896,905,1.0
the action of snatch,1,101,102,1.0
the action of chase,1,110,111,0.9
the action of clothing grab,1,115,116,0.9
the action of tackle,1,121,122,0.8
the action of bodyslam,1,136,137,0.7
headbutt,5,957,962,0.5
lifting a person aggressively,4,904,908,0.4
bodyslam,1,894,895,0.1
indecent gesture,1,905,906,0.1
tackle,1,940,941,0.1
indecent gesture was carried out by unknown person,0,11,11,0.0
"pinned down on the ground; victim: person in orange, blue, a",0,10,10,0.0
person in a gray hoodie and boxing gloves,0,12,12,0.0
"person in red shirt, red shorts, and red cap",0,13,13,0.0
"person in a white shirt,",0,13,13,0.0
brunette person in black jacket and red sweater with backpac,0,10,10,0.0
person in the black and pink jacket,0,10,10,0.0
lifting a person aggressively; victim: person wearing white ,0,21,21,0.0
person wearing a light blue jersey,0,13,13,0.0
person wearing black shorts with white stripes,0,10,10,0.0
person wearing a brown jacket and a cap,0,10,10,0.0
person wearing black shirt and black shorts and white sneake,0,10,10,0.0
"person wearing black jacket and black pants,",0,12,12,0.0
"person wearing a black sweater, blue jeans, and a gray backp",0,13,13,0.0
person wearing a white outfit,0,11,11,0.0
tackle; victim: person in yellow,0,21,21,0.0
"person wearing a red jacket, black pants, and black shoes",0,12,12,0.0
"person in a black shirt,",0,17,17,0.0
"aggressor: person in yellow; victim: person in orange, blue,",0,25,25,0.0
person wearing a yellow shirt and dark blue pants,0,15,15,0.0
person wearing a black choker and a navy blue sweatshirt,0,12,12,0.0
lifting a person aggressively; victim: person in yellow,0,14,14,0.0
"person in a beige jacket, pink shirt, and blue jeans",0,10,10,0.0
person in a dark blue tank top,0,12,12,0.0
"person in dark outfit,white underwear with backpack",0,13,13,0.0
person with blue eyes wearing black shorts,0,10,10,0.0
person in yellow (aggressor) did hair grabbing to person in ,0,16,16,0.0
person wearing a dark top and lighter pants,0,12,12,0.0
"person wearing a green long-sleeved shirt and dark pants, in",0,11,11,0.0
person in a pink short sleeved shirt,0,10,10,0.0
person not wearing a shirt with black shorts,0,10,10,0.0
the action of indecent gesture,0,102,102,0.0
lifting a person aggressively; victim: blonde person wearing,0,11,11,0.0
"the aggressor, person in the black jacket and white shirt, c",0,12,12,0.0
person wearing black and white sweater and black pants,0,13,13,0.0
a person wearing a white polo uniform with a white coat on t,0,13,13,0.0
person wearing light colored hoodie and black pants,0,11,11,0.0
lifting a person aggressively; victim: person wearing black ,0,27,27,0.0
a person wearing a black jacket and white shirt,0,10,10,0.0
person in a white shirt with a cast on their arm,0,10,10,0.0
lifting a person aggressively; victim: person in a white shi,0,12,12,0.0
lifting a person aggressively; victim: person wearing a blue,0,13,13,0.0
"person in yellow attacked person in orange, blue, and white ",0,25,25,0.0
person wearing blue and black striped long sleeve shirt,0,10,10,0.0
"blonde person wearing black jacket, white shirt, and red and",0,10,10,0.0
the action of indecent gesture was carried out by person in ,0,12,12,0.0
snatch; victim: person in yellow,0,19,19,0.0
the action of lifting a person aggressively,0,130,130,0.0
punch; victim: person in yellow,0,19,19,0.0
"person in blue jeans,",0,12,12,0.0
lifting a person aggressively; victim: person wearing a dark,0,17,17,0.0
clothing grab was carried out by unknown person,0,14,14,0.0
person in a red shirt and black shorts,0,10,10,0.0
"person in black jacket, black skinny pants",0,11,11,0.0
person in a white uniform with a black belt,0,10,10,0.0
person wearing a suit,0,20,20,0.0
person wearing black pants and black tank top,0,11,11,0.0
person in all black sneakers,0,10,10,0.0
hit with an object; victim: person in yellow,0,26,26,0.0
person in a brown coat,0,10,10,0.0
hit with an object was carried out by unknown person,0,13,13,0.0
person with facial hair,0,12,12,0.0
person in black and white hoodie,0,14,14,0.0
"restrain while on feet; victim: person in orange, blue, and ",0,18,18,0.0
person in wheelchair,0,14,14,0.0
kick; victim: person in yellow,0,23,23,0.0
clothing grab; victim: person in white shirt,0,11,11,0.0
"punch; victim: person in orange, blue, and white shirt with ",0,10,10,0.0
headbutt; victim: person in yellow,0,14,14,0.0
other football players,0,12,12,0.0
pinned down on the ground; victim: person in yellow,0,13,13,0.0
"person wearing blue shirt, jean shorts, and a black backpack",0,11,11,0.0
person wearing a blue long sleeved shirt and bleached jean s,0,10,10,0.0
"the aggressor, person in white backet and black pants below ",0,12,12,0.0
person wearing a blue shirt and gray pants,0,13,13,0.0
"the aggressor, person in yellow, carried out hair grabbing a",0,14,14,0.0
punch was carried out by unknown person,0,10,10,0.0
person wearing a light colored jacket,0,12,12,0.0
person wearing gray hoodie and black shoes,0,10,10,0.0
drag; victim: person in yellow,0,20,20,0.0
person in a dark red sweater,0,10,10,0.0
"bodyslam; victim: person in orange, blue, and white shirt wi",0,11,11,0.0
person wearing a black blazer and a red sweater,0,10,10,0.0
person in a gray jacket and pants,0,11,11,0.0
person in all black holding a bag,0,11,11,0.0
chase; victim: person in yellow,0,12,12,0.0
person in a dark colored coat,0,10,10,0.0
"person in red cap, black shirt, and red pants",0,13,13,0.0
person wearing a black shirt and blue shorts,0,15,15,0.0
person in blue shirt and light blue pants,0,10,10,0.0
person wearing tan shirt and pants,0,10,10,0.0
person in black top and khaki pants,0,11,11,0.0
person in black jacket and dark pants,0,11,11,0.0
person wearing a red shirt with a yellow logo,0,11,11,0.0
person wearing a black jersey,0,12,12,0.0
multiple bystanders,0,22,22,0.0
"shove; victim: person in orange, blue, and white shirt with ",0,15,15,0.0
indecent gesture; victim: person in yellow,0,16,16,0.0
choke; victim: person in yellow,0,12,12,0.0
person in white coat,0,11,11,0.0
"person in dark grey clothings,",0,12,12,0.0
person wearing a gray hooded jacket,0,11,11,0.0
person in a light patterned shirt and dark pants,0,10,10,0.0
person in gray jacket and patterned shirt,0,14,14,0.0
lifting a person aggressively; victim: person wearing a blac,0,17,17,0.0
person in torn shirt,0,12,12,0.0
person in orange prison uniform,0,12,12,0.0
bodyslam; victim: person in yellow,0,23,23,0.0
"person with hood, black shirt, black pants, and neon green g",0,11,11,0.0
"slap; victim: person in orange, blue, and white shirt with a",0,10,10,0.0
person wearing green camo print shirt,0,10,10,0.0
person wearing a striped shirt and shorts,0,13,13,0.0
person wearing a cream colored coat,0,13,13,0.0
lifting a person aggressively was carried out by unknown person,0,10,10,0.0
person in black top and blue jeans,0,11,11,0.0
person wearing a black hoodie and jeans,0,12,12,0.0
brunette person wearing a yellow tshirt,0,12,12,0.0
other people in black military uniforms,0,10,10,0.0
blonde person wearing a light blue top and blue jeans,0,13,13,0.0
person in long sleeved orange prison uniform wearing glasses,0,13,13,0.0
person in pink shirt and dark colored pants,0,10,10,0.0
person in blue shirt and black pants,0,13,13,0.0
"person in black shirt,wavy hair in ponytail",0,12,12,0.0
lifting a person aggressively; victim: person in black jacke,0,11,11,0.0
person in baseball hat wearing a blue hoodie and black jeans,0,10,10,0.0
person wearing a white shirt and red shorts,0,14,14,0.0
person wearing blue uniform lying on ground,0,14,14,0.0
person wearing a gray hoodie and black jeans,0,12,12,0.0
"person wearing a black v-neck shirt and dark pants, with a w",0,11,11,0.0
person in red,0,12,12,0.0
person with no shirt and black hair,0,11,11,0.0
person wearing glasses and a gray shirt,0,11,11,0.0
pinned down on the ground; victim: person wearing a white sh,0,14,14,0.0
person wearing a white button up shirt,0,11,11,0.0
the action of indecent gesture was carried out by person wea,0,14,14,0.0
elbow; victim: person in yellow,0,21,21,0.0
aggressor: blonde person wearing light blue hoodie; victim: ,0,10,10,0.0
restrain while on feet; victim: person in yellow,0,25,25,0.0
"person wearing a black vest, red and black long sleeved shir",0,11,11,0.0
person in white tank top and dark hair,0,11,11,0.0
clothing grab; victim: person in yellow,0,13,13,0.0
person in white shirt and brown coat,0,14,14,0.0
"hit with an object; victim: person in orange, blue, and whit",0,10,10,0.0
person with red shirt and red pants,0,11,11,0.0
person wearing a green t-shirt,0,11,11,0.0
lifting a person aggressively; victim: person in white shirt,0,16,16,0.0
person in brown short sleeves shirt,0,13,13,0.0
the action of lifting a person aggressively was carried out ,0,23,23,0.0
hair grabbing was carried out by person in yellow,0,14,14,0.0
person in a dark green jacket,0,10,10,0.0
chase was carried out by unknown person,0,10,10,0.0
person in black short sleeve shirt and multi-coloured trouse,0,10,10,0.0
"snatch; victim: person in orange, blue, and white shirt with",0,10,10,0.0
group on the right,0,10,10,0.0
person in a striped t-shirt,0,12,12,0.0
person in blue and white uniform,0,10,10,0.0
"headbutt; victim: person in orange, blue, and white shirt wi",0,11,11,0.0
person wearing a blue shirt and khaki pants,0,14,14,0.0
"person wearing a white shirt and jeans,",0,12,12,0.0
aggressive talking; victim: person in yellow,0,15,15,0.0
hair grabbing was carried out by unknown person,0,11,11,0.0
blonde person wearing a dark blue tank top,0,12,12,0.0
"indecent gesture; victim: person in orange, blue, and white ",0,11,11,0.0
shove; victim: person in yellow,0,16,16,0.0
"person in yellow,",0,76,76,0.0
lifting a person aggressively; victim: person wearing a whit,0,18,18,0.0
person wearing pale yellow t-shirt,0,10,10,0.0
tackle was carried out by unknown person,0,12,12,0.0
